HS10,Description,SUPC,SUPC_Desc,naics,naics_mod,naics_desc,ioic,HS4,pci_2023
101210000,"Horses, live, pure-bred breeding",MPG112006,Other live animals,112920,112920,"HORSES AND ASSES, PUREBRED BREEDING, FEMALE",BS112A00,101,0.272
101290010,"Horses, live, for slaughter",MPG112006,Other live animals,112920,112920,"HORSES, FOR IMMEDIATE SLAUGHTER, LIVE, NESOI",BS112A00,101,0.272
101290020,Horses for racing,MPG112006,Other live animals,112920,112920,"HORSES, FOR IMMEDIATE SLAUGHTER, LIVE, NESOI",BS112A00,101,0.272
101290090,"Horses, live, other than pure-bred breeding, o/t for slaughter or racing,nes",MPG112006,Other live animals,112920,112920,"HORSES, LIVE, NESOI",BS112A00,101,0.272
101300000,"Asses, live",MPG112006,Other live animals,112920,112920,"ASSES, LIVE",BS112A00,101,0.272
101900000,"Mules and hinnies, live",MPG112006,Other live animals,112920,112920,"ASSES, LIVE",BS112A00,101,0.272
102210010,"Cattle, live, pure-bred breeding, dairy",MPG112001,Cattle and calves,11211X,112110,"BOVINES, PUREBRED BREEDING, DAIRY, MALE, LIVE",BS111CL0,102,-0.587
102210090,"Cattle, live, pure-bred breeding, o/t dairy, nes",MPG112001,Cattle and calves,11211X,112110,"CATTLE, LIVE, PUREBRED BREEDING, FEMALE, EXC DAIRY",BS111CL0,102,-0.587
102290010,"Cattle, live, dairy, other than pure-bred breeding",MPG112001,Cattle and calves,11211X,112110,"CATTLE, LIVE, PUREBRED BREEDING, FEMALE, EXC DAIRY",BS111CL0,102,-0.587
102290090,"Cattle, live, other than pure-bred breeding and other than dairy, nes",MPG112001,Cattle and calves,11211X,112110,"CATTLE, LIVE, PUREBRED BREEDING, FEMALE, EXC DAIRY",BS111CL0,102,-0.587
102310000,"Buffalo, live, pure-bred breeding",MPG112001,Cattle and calves,11211X,112110,"CATTLE, LIVE, FEMALE, WEIGHING GT=320 KG EA, NESOI",BS111CL0,102,-0.587
102390000,"Buffalo, live, other than pure-bred breeding",MPG112001,Cattle and calves,11211X,112110,"BUFFALO, LIVE, PUREBRED BREEDING, FEMALE EXC DAIRY",BS111CL0,102,-0.587
102900000,"Bovine, live, other than cattle and buffalo, nes",MPG112001,Cattle and calves,11211X,112110,"BOVINES, LIVE, OTHER THAN CATTLE OR BUFFALO",BS111CL0,102,-0.587
103100000,"Swine, live, pure-bred breeding",MPG112003,Hogs,11211X,112110,"BOVINES, LIVE, OTHER THAN CATTLE OR BUFFALO",BS111CL0,103,0.794
103910000,"Swine, live, o/t pure-bred breeding, weighing less than 50 kg",MPG112003,Hogs,11211X,112110,"BOVINES, LIVE, OTHER THAN CATTLE OR BUFFALO",BS111CL0,103,0.794
103920000,"Swine, live, o/t pure-bred breeding, weighing 50 kg or more",MPG112003,Hogs,112210,112210,"SWINE, LIVE, NESOI, WEIGHING 23 - 50 KG EACH",BS112A00,103,0.794
104100010,"Sheep, live, pure-bred breeding",MPG112006,Other live animals,112210,112210,"SWINE, GT=50 KG EACH, LIVE, NESOI",BS112A00,104,-1.514
104100090,"Sheep, live, o/t pure-bred breeding",MPG112006,Other live animals,112210,112210,"SWINE, GT=50 KG EACH, LIVE, NESOI",BS112A00,104,-1.514
104200010,"Goats, live, pure-bred breeding",MPG112006,Other live animals,112210,112210,"SWINE, GT=50 KG EACH, LIVE, NESOI",BS112A00,104,-1.514
104200090,"Goats, live, o/t pure-bred breeding",MPG112006,Other live animals,112210,112210,"SWINE, GT=50 KG EACH, LIVE, NESOI",BS112A00,104,-1.514
105111000,"Fowls of species Gallus domesticus, live, for breeding purposes,weighing <= 185g",MPG112005,Poultry,112210,112210,"SWINE, GT=50 KG EACH, LIVE, NESOI",BS112A00,105,-0.512
105112100,"Fowls of species Gallus domesticus,live,broilers f dom production,wt <= 185g,w/a",MPG112005,Poultry,112210,112210,"SWINE, GT=50 KG EACH, LIVE, NESOI",BS112A00,105,-0.512
105112200,"Fowls of species Gallus domesticus,live,broilers f dom production,wt <= 185g,o/a",MPG112005,Poultry,112210,112210,"SWINE, GT=50 KG EACH, LIVE, NESOI",BS112A00,105,-0.512
105119000,"Fowls of the species Gallus domesticus, live, nes, weighing not more than 185 g",MPG112005,Poultry,112210,112210,"SWINE, GT=50 KG EACH, LIVE, NESOI",BS112A00,105,-0.512
105121000,"Turkeys,live, domestic, for breeding,weighing not more than 185g",MPG112005,Poultry,112210,112210,"SWINE, GT=50 KG EACH, LIVE, NESOI",BS112A00,105,-0.512
105129000,"Turkeys live, o/t breeding,weighing not more than 185g",MPG112005,Poultry,112210,112210,"SWINE, GT=50 KG EACH, LIVE, NESOI",BS112A00,105,-0.512
105131000,"Ducks, domestic, live, for breeding purposes, weighing <= 185 g",MPG112005,Poultry,1123XX,112300,"DUCKS, LIVE, WEIGHING NOT MORE THAN 185 G EACH",BS112A00,105,-0.512
105139000,"Ducks, domestic, live, other than for breeding purposes, weighing <= 185 g, nes",MPG112005,Poultry,1123XX,112300,"DUCKS, LIVE, WEIGHING NOT MORE THAN 185 G EACH",BS112A00,105,-0.512
105141000,"Geese, domestic, live, for breeding purposes, weighing <= 185 g",MPG112005,Poultry,1123XX,112300,"GEESE, LIVE, WEIGHING NOT MORE THAN 185 G EACH",BS112A00,105,-0.512
105149000,"Geese, domestic, live, other than for breeding purposes, weighing <= 185 g, nes",MPG112005,Poultry,1123XX,112300,"GEESE, LIVE, WEIGHING NOT MORE THAN 185 G EACH",BS112A00,105,-0.512
105151000,"Guinea fowls, domestic, live, for breeding purposes, weighing <= 185 g",MPG112005,Poultry,1123XX,112300,"GUINEA FOWLS, LIVE, WEIGHING LT=185 G EACH",BS112A00,105,-0.512
105159000,"Guinea fowls, domestic, live, o/t for breeding purposes, weighing <= 185g,nes",MPG112005,Poultry,1123XX,112300,"GUINEA FOWLS, LIVE, WEIGHING LT=185 G EACH",BS112A00,105,-0.512
105941011,"Fowls of species Gallus domesticus,live,f breed & started pullets,wt >185<2,000g",MPG112005,Poultry,1123XX,112300,"LIVE CHICKENS, EACH WEIGHING 185 G OR MORE",BS112A00,105,-0.512
105941012,"Fowls of species Gallus domesticus,live,f breeding & started pullets,wt > 2,000g",MPG112005,Poultry,1123XX,112300,"LIVE CHICKENS, EACH WEIGHING 185 G OR MORE",BS112A00,105,-0.512
105941020,"Fowls of the species Gallus domesticus, live, spent fowl",MPG112005,Poultry,1123XX,112300,"LIVE CHICKENS, EACH WEIGHING 185 G OR MORE",BS112A00,105,-0.512
105949110,"Fowls of the species Gallus domesticus, live, nes, weighing <= 2,000 g, w/a com",MPG112005,Poultry,1123XX,112300,"LIVE CHICKENS, EACH WEIGHING 185 G OR MORE",BS112A00,105,-0.512
105949120,"Fowls of the species Gallus domesticus, live, nes, weighing > 2,000 g, w/a com",MPG112005,Poultry,1123XX,112300,"LIVE CHICKENS, EACH WEIGHING 185 G OR MORE",BS112A00,105,-0.512
105949210,"Fowls of the species Gallus domesticus, live, nes, weighing <= 2,000 g, o/a com",MPG112005,Poultry,1123XX,112300,"LIVE CHICKENS, EACH WEIGHING 185 G OR MORE",BS112A00,105,-0.512
105949220,"Fowls of the species Gallus domesticus, live, nes, weighing > 2,000 g, o/a com",MPG112005,Poultry,1123XX,112300,"LIVE CHICKENS, EACH WEIGHING 185 G OR MORE",BS112A00,105,-0.512
105991100,"Turkeys, live, weighing more than 185 g, within access commitment",MPG112005,Poultry,1123XX,112300,"LIVE CHICKENS, EACH WEIGHING 185 G OR MORE",BS112A00,105,-0.512
105991200,"Turkeys, live, weighing more than 185 g, over access commitment",MPG112005,Poultry,1123XX,112300,"LIVE CHICKENS, EACH WEIGHING 185 G OR MORE",BS112A00,105,-0.512
105999000,"Ducks, geese, and guinea fowl, domestic, live, weighing more than 185 g",MPG112005,Poultry,1123XX,112300,"LIVE CHICKENS, EACH WEIGHING 185 G OR MORE",BS112A00,105,-0.512
106110000,"Primates, live",MPG112006,Other live animals,112990,112990,"PRIMATES, LIVE",BS112A00,106,-1.126
106120000,"Whales, dolphins, porpoises, manatees, dugongs,seals,sea lions and walruses,live",MPG112006,Other live animals,112990,112990,"LIVE WHALES,DOLPHINS,PORPOISES,MANATEES & DUGONGS",BS112A00,106,-1.126
106130000,"Camels and other camelids, live",MPG112006,Other live animals,112990,112990,"CAMELS AND OTHER CAMELIDS (CAMELIDAE), LIVE",BS112A00,106,-1.126
106140000,"Rabbits and hares, live",MPG112006,Other live animals,112930,112930,"RABBITS AND HARES, LIVE",BS112A00,106,-1.126
