IndustryCode,Origin,Dest,tau_nodist,TEC,Desc
BS111A00,BC,BC,1,0.00%,#N/A
BS1114A0,BC,BC,1,0.00%,#N/A
BS112A00,BC,BC,1,0.00%, Animal Production
BS112500,BC,BC,1,0.00%, Animal Production
BS113000,BC,BC,1,0.00%, Forestry and Logging
BS114000,BC,BC,1,0.00%," Fishing, Hunting and Trapping"
BS115A00,BC,BC,1,0.00%, Support Activities for Forestry
BS115300,BC,BC,1,0.00%, Support Activities for Forestry
BS211110,BC,BC,1,0.00%, Oil and Gas Extraction
BS211140,BC,BC,1,0.00%, Non-Conventional Oil Extraction
BS212100,BC,BC,1,0.00%, Coal Mining
BS212210,BC,BC,1,0.00%, Iron Ore Mining
BS212220,BC,BC,1,0.00%, Iron Ore Mining
BS212230,BC,BC,1,0.00%, Gold and Silver Ore Mining
BS212290,BC,BC,1,0.00%," Copper, Nickel, Lead and Zinc Ore Mining"
BS212310,BC,BC,1,0.00%, Stone Mining and Quarrying
BS212320,BC,BC,1,0.00%," Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
BS212392,BC,BC,1,0.00%, Diamond Mining
BS21239A,BC,BC,1,0.00%, Other Non-Metallic Mineral Mining and Quarrying (except diamond and potash)
BS212396,BC,BC,1,0.00%, Diamond Mining
BS21311A,BC,BC,1,0.00%, Support Activities for Oil and Gas Extraction
BS21311B,BC,BC,1,0.00%, Support Activities for Oil and Gas Extraction
BS221100,BC,BC,1,0.00%," Electric Power Generation, Transmission and Distribution"
BS221200,BC,BC,1,0.00%," Electric Power Generation, Transmission and Distribution"
BS221300,BC,BC,1,0.00%, Natural Gas Distribution
BS23A000,BC,BC,1,0.00%, Residential Building Construction
BS23B000,BC,BC,1,0.00%, Non-Residential Building Construction
BS23C100,BC,BC,1,0.00%, Transportation Engineering Construction
BS23C200,BC,BC,1,0.00%, Oil and Gas Engineering Construction
BS23C300,BC,BC,1,0.00%, Electric Power Engineering Construction
BS23C400,BC,BC,1,0.00%, Communication Engineering Construction
BS23C500,BC,BC,1,0.00%, Other Engineering Construction
BS23D000,BC,BC,1,0.00%, Repair Construction
BS23E000,BC,BC,1,0.00%, Other Activities of the Construction Industry
BS311100,BC,BC,1,0.00%, Animal Food Manufacturing
BS311200,BC,BC,1,0.00%, Animal Food Manufacturing
BS311300,BC,BC,1,0.00%, Sugar and Confectionery Product Manufacturing
BS311400,BC,BC,1,0.00%, Fruit and Vegetable Preserving and Specialty Food Manufacturing
BS311500,BC,BC,1,0.00%, Dairy Product Manufacturing
BS311600,BC,BC,1,0.00%, Meat Product Manufacturing
BS311700,BC,BC,1,0.00%, Grain and Oilseed Milling
BS311800,BC,BC,1,0.00%, Grain and Oilseed Milling
BS311900,BC,BC,1,0.00%, Bakeries and Tortilla Manufacturing
BS312110,BC,BC,1,0.00%, Soft Drink and Ice Manufacturing
BS312120,BC,BC,1,0.00%, Breweries
BS3121A0,BC,BC,1,0.00%, Wineries and Distilleries
BS312200,BC,BC,1,0.00%, Tobacco Manufacturing
BS31A000,BC,BC,1,0.00%, Textile and Textile Product Mills
BS31B000,BC,BC,1,0.00%, Clothing and Leather and Allied Product Manufacturing
BS321100,BC,BC,1,0.00%, Sawmills and Wood Preservation
BS321200,BC,BC,1,0.00%," Veneer, Plywood and Engineered Wood Product Manufacturing"
BS321900,BC,BC,1,0.00%, Other Wood Product Manufacturing
BS322100,BC,BC,1,0.00%," Pulp, Paper and Paperboard Mills"
BS322200,BC,BC,1,0.00%, Converted Paper Product Manufacturing
BS323000,BC,BC,1,0.00%, Printing and Related Support Activities
BS324110,BC,BC,1,0.00%, Petroleum Refineries
BS3241A0,BC,BC,1,0.00%, Petroleum Refineries
BS325100,BC,BC,1,0.00%, Basic Chemical Manufacturing
BS325200,BC,BC,1,0.00%," Resin, Synthetic Rubber, and Artificial and Synthetic Fibres and Filaments Manufacturing"
BS325300,BC,BC,1,0.00%," Pesticides, Fertilizer and Other Agricultural Chemical Manufacturing"
BS325400,BC,BC,1,0.00%, Pharmaceutical and Medicine Manufacturing
BS325500,BC,BC,1,0.00%, Pharmaceutical and Medicine Manufacturing
BS325600,BC,BC,1,0.00%," Soap, Cleaning Compound and Toilet Preparation Manufacturing"
BS325900,BC,BC,1,0.00%, Other Chemical Product Manufacturing
BS326100,BC,BC,1,0.00%, Plastic Product Manufacturing
BS326200,BC,BC,1,0.00%, Rubber Product Manufacturing
BS327A00,BC,BC,1,0.00%, Non-Metallic Mineral Product Manufacturing (except Cement and Concrete Products)
BS327300,BC,BC,1,0.00%, Rubber Product Manufacturing
BS331100,BC,BC,1,0.00%, Primary Metal Manufacturing
BS331200,BC,BC,1,0.00%, Iron and Steel Mills and Ferro-Alloy Manufacturing
BS331300,BC,BC,1,0.00%, Steel Product Manufacturing from Purchased Steel
BS331400,BC,BC,1,0.00%, Alumina and Aluminum Production and Processing
BS331500,BC,BC,1,0.00%, Non-Ferrous Metal (except Aluminum) Production and Processing
BS332100,BC,BC,1,0.00%, Fabricated Metal Product Manufacturing
BS332A00,BC,BC,1,0.00%," Coating, Engraving, Heat Treating and Allied Activities"
BS332300,BC,BC,1,0.00%, Forging and Stamping
BS332400,BC,BC,1,0.00%, Architectural and Structural Metals Manufacturing
BS332500,BC,BC,1,0.00%, Hardware Manufacturing
BS332600,BC,BC,1,0.00%, Spring and Wire Product Manufacturing
BS332700,BC,BC,1,0.00%," Machine shops, turned product, and screw, nut and bolt manufacturing"
BS332800,BC,BC,1,0.00%," Coating, Engraving, Heat Treating and Allied Activities"
BS333100,BC,BC,1,0.00%," Agricultural, construction and mining machinery manufacturing"
BS333200,BC,BC,1,0.00%, Industrial Machinery Manufacturing
BS333300,BC,BC,1,0.00%, Industrial Machinery Manufacturing
